age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,subject_portuguese,parent_edu_avg,total_alcohol,has_support
15,4,4,1,2,0,5,4,2,3,4,5,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,4.0,7,1
15,4,4,2,2,0,4,3,1,1,1,5,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,4.0,2,1
15,4,3,1,2,0,4,5,2,1,1,5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,3.5,2,1
15,3,3,1,2,0,5,3,2,1,1,2,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3.0,2,0
16,3,2,1,1,0,5,4,3,1,1,5,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,2.5,2,1
15,2,3,2,1,0,3,5,1,1,1,5,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,2.5,2,1
15,4,3,1,3,0,5,4,3,1,1,4,2,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,3.5,2,1
16,4,4,2,3,0,2,4,3,1,1,5,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,4.0,2,1
15,3,4,1,3,0,4,3,2,1,1,5,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,3.5,2,1
15,2,2,1,1,0,4,3,1,1,1,2,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,2.0,2,1
16,2,2,2,2,1,3,3,3,1,2,3,25,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,2.0,3,1
15,4,4,1,1,0,5,4,3,2,4,5,8,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,4.0,6,1
15,4,4,1,2,0,4,3,3,1,1,5,2,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,4.0,2,1
15,2,2,1,1,0,5,4,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,2.0,2,1
16,2,2,2,2,1,4,3,3,2,2,5,14,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,2.0,4,1
15,4,3,1,2,0,5,2,2,1,1,5,8,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,3.5,2,1
16,3,3,1,2,0,2,3,5,1,4,3,12,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,3.0,5,1
16,4,3,1,4,0,4,2,2,1,1,2,4,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,3.5,2,0
15,4,2,1,2,0,4,3,3,2,2,5,2,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,3.0,4,1
15,4,4,1,2,1,4,4,4,1,1,3,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,4.0,2,1
16,2,2,3,2,0,4,3,3,2,3,4,2,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,2.0,5,1
15,4,2,1,2,0,4,3,3,1,1,5,2,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,3.0,2,1
15,4,2,2,1,1,5,5,5,3,4,5,6,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3.0,7,0
15,4,4,1,1,0,3,3,4,2,3,5,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,4.0,5,1
15,3,3,1,1,0,5,3,4,4,4,1,6,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,3.0,8,1
16,2,1,1,2,0,5,3,4,1,1,2,8,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1.5,2,1
15,4,3,1,2,0,4,3,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,3.5,2,1
15,4,4,1,2,0,3,2,2,1,1,5,4,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,4.0,2,1
15,1,2,1,2,0,4,3,2,1,1,5,2,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1.5,2,1
16,4,2,1,2,0,4,2,3,1,1,5,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,3.0,2,1
16,4,4,1,2,0,2,4,4,2,3,4,6,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,4.0,5,1
16,1,1,4,1,0,5,5,5,5,5,5,6,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1.0,10,1
16,1,2,1,2,0,4,4,3,1,1,1,4,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1.5,2,1
16,4,3,1,3,0,3,4,4,2,4,4,2,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,3.5,6,1
15,4,3,1,2,0,4,4,4,2,4,2,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,3.5,6,1
16,4,3,3,2,0,5,4,3,1,2,1,2,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,3.5,3,1
15,4,4,1,4,0,1,3,3,5,5,3,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,4.0,10,1
16,3,1,1,4,0,4,3,3,1,2,5,4,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,2.0,3,1
15,2,2,2,2,0,4,1,3,1,3,4,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,2.0,4,1
15,3,1,2,4,0,4,4,2,2,3,3,12,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2.0,5,1
16,3,1,2,4,0,4,3,2,1,1,5,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,2.0,2,1
15,4,2,1,4,0,3,3,3,1,1,3,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,3.0,2,0
15,1,1,1,2,2,3,3,4,2,4,5,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1.0,6,1
16,3,1,1,1,0,5,3,2,2,2,5,2,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,2.0,4,0
16,3,3,1,2,0,4,3,3,2,4,5,54,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,3.0,6,1
15,4,3,1,2,0,4,3,3,2,3,5,6,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,3.5,5,1
15,4,0,2,4,0,3,4,3,1,1,1,8,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,2.0,2,0
16,2,2,1,4,0,5,2,3,1,3,3,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,2.0,4,1
17,2,1,2,1,3,4,5,1,1,1,3,2,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1.5,2,1
16,3,4,1,2,0,2,4,3,1,2,3,12,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,3.5,3,1
15,2,3,1,1,0,3,2,2,1,3,3,2,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,2.5,4,1
15,2,3,1,3,0,5,3,2,1,2,5,4,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,2.5,3,1
15,3,2,1,2,0,4,4,4,1,1,5,10,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,2.5,2,1
15,2,2,2,2,0,5,3,3,1,3,4,4,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,2.0,4,1
15,1,1,1,2,0,4,3,2,2,3,4,2,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1.0,5,1
15,4,4,2,2,2,4,4,4,2,3,5,6,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,4.0,5,1
16,2,2,1,2,0,4,3,4,1,2,2,4,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,2.0,3,1
15,4,2,1,3,0,5,3,3,1,3,1,4,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,3.0,4,1
16,2,2,2,2,1,4,4,2,1,1,3,12,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,2.0,2,1
16,4,4,1,2,0,4,1,3,3,5,5,18,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,4.0,8,1
16,3,3,1,3,0,4,3,3,1,3,4,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,3.0,4,1
15,4,3,1,1,0,4,5,5,1,3,1,4,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,3.5,4,1
16,3,1,1,2,0,3,3,3,2,3,2,4,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,2.0,5,1
16,4,2,2,2,0,5,3,3,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,3.0,2,1
15,2,2,1,4,0,4,3,4,1,1,4,6,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,2.0,2,1
15,1,1,2,4,1,3,1,2,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1.0,2,1
16,4,3,2,1,0,3,3,3,1,1,4,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,3.5,2,1
16,2,1,1,2,0,4,3,5,1,1,5,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1.5,2,1
16,4,4,1,1,0,5,3,4,1,2,1,6,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,4.0,3,0
16,4,3,1,3,0,5,3,5,1,1,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,3.5,2,1
16,4,4,1,1,0,4,5,5,5,5,4,14,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,4.0,10,1
16,4,4,1,3,0,4,4,3,1,1,4,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,4.0,2,1
15,4,4,1,1,0,5,3,3,1,1,5,4,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4.0,2,1
15,3,2,2,2,0,4,3,5,1,1,2,26,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,2.5,2,1
15,3,4,1,2,0,5,4,4,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,3.5,2,1
15,3,3,1,4,0,4,3,3,1,1,4,10,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,3.0,2,1
15,2,2,1,4,0,5,1,2,1,1,3,8,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,2.0,2,1
16,3,3,1,3,0,5,3,3,1,1,5,2,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,3.0,2,1
15,4,4,4,4,0,1,3,5,3,5,1,6,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,4.0,8,1
16,4,4,1,3,0,5,4,5,1,1,4,4,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,4.0,2,1
15,4,4,1,1,0,5,5,3,1,1,4,6,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,4.0,2,0
16,3,3,1,3,1,4,1,2,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,3.0,2,1
16,2,2,1,2,1,3,1,2,1,1,5,6,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,2.0,2,1
15,4,2,1,1,0,3,5,2,1,1,3,10,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,3.0,2,0
15,2,1,1,2,0,5,4,2,1,1,5,8,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1.5,2,0
16,4,4,1,2,0,5,4,4,1,2,5,2,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,4.0,3,1
15,4,4,2,2,0,4,4,3,1,1,2,2,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,4.0,2,1
16,3,3,2,1,0,5,4,2,1,1,5,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,3.0,2,0
17,1,3,3,2,1,5,2,4,1,4,5,20,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,2.0,5,1
15,3,4,1,1,0,3,4,3,1,2,4,6,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3.5,3,0
15,1,2,1,2,0,3,2,3,1,2,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.5,3,0
15,2,2,1,4,0,5,5,4,1,2,5,6,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,2.0,3,1
16,2,4,2,2,0,4,2,2,1,2,5,2,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,3.0,3,1
16,4,4,1,1,0,3,4,4,1,4,5,18,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,4.0,5,1
16,2,2,1,2,0,5,4,4,1,1,5,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,2.0,2,1
15,3,4,1,1,0,5,5,5,3,2,5,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,3.5,5,1
15,3,4,1,2,0,5,3,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,3.5,2,1
19,0,1,1,2,3,3,4,2,1,1,5,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.5,2,1
18,2,2,1,1,2,3,3,3,1,2,4,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,2.0,3,1
16,4,4,1,1,0,3,5,5,2,5,4,8,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,4.0,7,1
15,3,4,2,3,2,4,2,2,2,2,5,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,3.5,4,1
15,1,1,3,1,0,4,3,3,1,2,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1.0,3,1
17,2,2,1,1,0,3,4,4,1,3,5,12,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,2.0,4,1
16,3,4,1,1,0,3,2,1,1,4,5,16,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3.5,5,0
15,3,4,4,2,0,5,3,3,1,1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,3.5,2,1
15,4,4,1,3,0,4,3,3,1,1,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,4.0,2,1
17,3,4,3,2,0,5,4,5,2,4,5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3.5,6,0
16,3,3,2,1,2,4,3,2,1,1,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,3.0,2,1
16,1,1,1,2,1,4,4,4,1,3,5,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1.0,4,0
15,4,4,2,1,0,4,3,2,1,1,5,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,4.0,2,0
15,4,3,2,4,0,2,2,2,1,1,3,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,3.5,2,1
16,2,2,2,1,2,2,3,3,2,2,2,8,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,2.0,4,1
15,4,4,1,3,0,4,2,2,1,1,5,2,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,4.0,2,1
16,1,1,1,1,0,3,4,4,3,3,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1.0,6,0
17,2,1,1,1,3,5,4,5,1,2,5,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1.5,3,1
15,1,1,1,2,0,4,4,2,1,2,5,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1.0,3,1
15,3,2,1,2,3,3,3,2,1,1,3,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,2.5,2,1
15,1,2,1,2,0,4,3,2,1,1,5,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1.5,2,1
16,4,4,1,1,0,3,3,2,2,1,5,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,4.0,3,1
15,2,1,4,1,3,4,5,5,2,5,5,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1.5,7,0
18,1,1,1,1,3,2,3,5,2,5,4,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1.0,7,0
16,2,1,1,1,1,4,4,4,3,5,5,6,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1.5,8,0
15,3,3,2,3,2,4,2,1,2,3,3,8,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,3.0,5,1
